year month day hour Ds SWE Tsrf
2021 9 2 5 0 0 271.27
2021 9 3 5 0 0 276.69
2021 9 4 5 0 0 277.71
2021 9 5 5 0 0 271.61
2021 9 6 5 0 0 276.76
2021 9 7 5 0 0 272.03
2021 9 8 5 0 0 274.86
2021 9 9 5 0 0 273
2021 9 10 5 0 0 276.8
2021 9 11 5 0 0 277.45
2021 9 12 5 0 0 273.83
2021 9 13 5 0 0 273.55
2021 9 14 5 0 0 273.64
2021 9 15 5 0 0 278.13
2021 9 16 5 0 0 278.29
2021 9 17 5 0 0 276.63
2021 9 18 5 0 0 268.91
2021 9 19 5 0 0 275.11
2021 9 20 5 0.098 15 271.63
2021 9 21 5 0.048 8 260.8
2021 9 22 5 0 0 268.36
2021 9 23 5 0 0 267.15
2021 9 24 5 0 0 267.87
2021 9 25 5 0 0 268.9
2021 9 26 5 0 0 276.67
2021 9 27 5 0 0 271.75
2021 9 28 5 0 0 273.03
2021 9 29 5 0.021 3 273.15
2021 9 30 5 0.01 2 270.79
2021 10 1 5 0 0 269.31
2021 10 2 5 0 0 273.9
2021 10 3 5 0 0 274.71
2021 10 4 5 0 0 275.58
2021 10 5 5 0 0 273.61
2021 10 6 5 0.065 9 268.05
2021 10 7 5 0.13 19 268.25
2021 10 8 5 0.121 19 260.24
2021 10 9 5 0.091 16 253.51
2021 10 10 5 0.074 14 253.72
2021 10 11 5 0.073 14 253.07
2021 10 12 5 0.065 13 260.59
2021 10 13 5 0.156 25 267.06
2021 10 14 5 0.156 25 247.76
2021 10 15 5 0.152 25 248.35
2021 10 16 5 0.145 25 251.71
2021 10 17 5 0.128 25 250.23
2021 10 18 5 0.117 24 258.82
2021 10 19 5 0.106 24 267.81
2021 10 20 5 0.082 19 266.07
2021 10 21 5 0.047 12 273.15
2021 10 22 5 0.043 11 262.25
2021 10 23 5 0.042 10 254.42
2021 10 24 5 0.033 8 261.3
2021 10 25 5 0.021 6 265.85
2021 10 26 5 0.012 3 263.66
2021 10 27 5 0.016 4 258.85
2021 10 28 5 0.008 2 263.04
2021 10 29 5 0.003 1 265.43
2021 10 30 5 0 0 269.27
2021 10 31 5 0 0 270.43
2021 11 1 5 0 0 272.66
2021 11 2 5 0.196 27 265.6
2021 11 3 5 0.188 27 265.34
2021 11 4 5 0.392 53 262.74
2021 11 5 5 0.389 57 254.46
2021 11 6 5 0.365 57 236.07
