year month day hour Ds SWE Tsrf
2021 9 2 5 0 0 279.65
2021 9 3 5 0 0 279.88
2021 9 4 5 0 0 279.83
2021 9 5 5 0 0 279.65
2021 9 6 5 0 0 282.04
2021 9 7 5 0 0 281.26
2021 9 8 5 0 0 284.36
2021 9 9 5 0 0 286.17
2021 9 10 5 0 0 285.95
2021 9 11 5 0 0 284.29
2021 9 12 5 0 0 283.48
2021 9 13 5 0 0 283.07
2021 9 14 5 0 0 284.57
2021 9 15 5 0 0 288.26
2021 9 16 5 0 0 287.33
2021 9 17 5 0 0 284.26
2021 9 18 5 0 0 277.08
2021 9 19 5 0 0 281.28
2021 9 20 5 0 0 281.21
2021 9 21 5 0 0 275.58
2021 9 22 5 0 0 276.89
2021 9 23 5 0 0 276.93
2021 9 24 5 0 0 276.8
2021 9 25 5 0 0 279.6
2021 9 26 5 0 0 286.51
2021 9 27 5 0 0 283.41
2021 9 28 5 0 0 284.56
2021 9 29 5 0 0 283.52
2021 9 30 5 0 0 279.92
2021 10 1 5 0 0 277.19
2021 10 2 5 0 0 283.21
2021 10 3 5 0 0 286.62
2021 10 4 5 0 0 282.33
2021 10 5 5 0 0 281.89
2021 10 6 5 0 0 279.11
2021 10 7 5 0 0 278.35
2021 10 8 5 0 0 273.93
2021 10 9 5 0 0 275.43
2021 10 10 5 0 0 271.22
2021 10 11 5 0 0 269.15
2021 10 12 5 0 0 273.41
2021 10 13 5 0 0 276.31
2021 10 14 5 0 0 270.71
2021 10 15 5 0 0 270.39
2021 10 16 5 0 0 272.15
2021 10 17 5 0 0 270.84
2021 10 18 5 0 0 273.61
2021 10 19 5 0 0 277.78
2021 10 20 5 0 0 279.14
2021 10 21 5 0 0 282.88
2021 10 22 5 0 0 276.88
2021 10 23 5 0 0 270.57
2021 10 24 5 0 0 273.28
2021 10 25 5 0 0 273.94
2021 10 26 5 0 0 275.91
2021 10 27 5 0 0 272.94
2021 10 28 5 0 0 272.49
2021 10 29 5 0 0 274.54
2021 10 30 5 0 0 279.79
2021 10 31 5 0 0 282.78
2021 11 1 5 0 0 281.46
2021 11 2 5 0 0 277.25
2021 11 3 5 0 0 276.34
2021 11 4 5 0.027 3 272.18
2021 11 5 5 0 0 273.89
2021 11 6 5 0 0 268.96
2021 11 7 5 0 0 267.85
2021 11 8 5 0 0 273.51
