year month day hour Ds SWE Tsrf
2021 9 2 5 0 0 278.28
2021 9 3 5 0 0 282.23
2021 9 4 5 0 0 281.14
2021 9 5 5 0 0 282.87
2021 9 6 5 0 0 286.05
2021 9 7 5 0 0 282.69
2021 9 8 5 0 0 282
2021 9 9 5 0 0 287.57
2021 9 10 5 0 0 288.51
2021 9 11 5 0 0 285.4
2021 9 12 5 0 0 287.2
2021 9 13 5 0 0 282.55
2021 9 14 5 0 0 284.74
2021 9 15 5 0 0 289.35
2021 9 16 5 0 0 289.3
2021 9 17 5 0 0 286.37
2021 9 18 5 0 0 279.63
2021 9 19 5 0 0 282.29
2021 9 20 5 0 0 284.02
2021 9 21 5 0 0 281.87
2021 9 22 5 0 0 277.86
2021 9 23 5 0 0 278.03
2021 9 24 5 0 0 280.24
2021 9 25 5 0 0 279.8
2021 9 26 5 0 0 287.05
2021 9 27 5 0 0 286.13
2021 9 28 5 0 0 285.8
2021 9 29 5 0 0 285.86
2021 9 30 5 0 0 281.81
2021 10 1 5 0 0 275.53
2021 10 2 5 0 0 284.65
2021 10 3 5 0 0 285.74
2021 10 4 5 0 0 283.32
2021 10 5 5 0 0 283.99
2021 10 6 5 0 0 281.55
2021 10 7 5 0 0 281.71
2021 10 8 5 0 0 281.9
2021 10 9 5 0 0 281.3
2021 10 10 5 0 0 278
2021 10 11 5 0 0 276.52
2021 10 12 5 0 0 279.86
2021 10 13 5 0 0 279.17
2021 10 14 5 0 0 273.12
2021 10 15 5 0 0 271.75
2021 10 16 5 0 0 273.69
2021 10 17 5 0 0 278.77
2021 10 18 5 0 0 278.97
2021 10 19 5 0 0 280.05
2021 10 20 5 0 0 277.33
2021 10 21 5 0 0 284.89
2021 10 22 5 0 0 281.54
2021 10 23 5 0 0 269.67
2021 10 24 5 0 0 272.44
2021 10 25 5 0 0 276.32
2021 10 26 5 0 0 279.74
2021 10 27 5 0 0 278.97
2021 10 28 5 0 0 279.32
2021 10 29 5 0 0 277.56
2021 10 30 5 0 0 277.13
2021 10 31 5 0 0 280.47
2021 11 1 5 0 0 281.5
2021 11 2 5 0 0 278.56
2021 11 3 5 0 0 276.44
2021 11 4 5 0 0 277.63
2021 11 5 5 0 0 277.66
2021 11 6 5 0 0 274.56
2021 11 7 5 0 0 274.04
2021 11 8 5 0 0 277.87
2021 11 9 5 0 0 269.18
2021 11 10 5 0 0 272.28
2021 11 11 5 0 0 273.8
2021 11 12 5 0 0 276.08
2021 11 13 5 0 0 276.58
2021 11 14 5 0 0 278.59
2021 11 15 5 0 0 279.02
2021 11 16 5 0 0 277.61
2021 11 17 5 0 0 277.49
2021 11 18 5 0 0 271.36
2021 11 19 5 0 0 273.94
2021 11 20 5 0 0 274.9
2021 11 21 5 0 0 274.42
2021 11 22 5 0 0 275.87
2021 11 23 5 0 0 275.8
2021 11 24 5 0 0 274.77
2021 11 25 5 0 0 274.86
2021 11 26 5 0.018 2 272.98
2021 11 27 5 0.005 1 273.15
2021 11 28 5 0.002 0 273.03
2021 11 29 5 0.046 5 271.61
2021 11 30 5 0.045 6 270.48
2021 12 1 5 0.014 2 273.15
2021 12 2 5 0 0 275.68
2021 12 3 5 0.001 0 267.2
2021 12 4 5 0.004 0 273.15
2021 12 5 5 0 0 273.89
2021 12 6 5 0.009 1 272.79
2021 12 7 5 0.018 2 273.15
2021 12 8 5 0 0 274.04
2021 12 9 5 0.043 5 273.09
2021 12 10 5 0.012 1 271.5
2021 12 11 5 0.017 2 273.15
2021 12 12 5 0 0 269.67
2021 12 13 5 0 0 273.32
2021 12 14 5 0 0 272.83
2021 12 15 5 0 0 273.88
2021 12 16 5 0 0 275.01
2021 12 17 5 0 0 275.18
2021 12 18 5 0 0 274.55
2021 12 19 5 0 0 272.83
2021 12 20 5 0 0 272.55
2021 12 21 5 0 0 271.76
2021 12 22 5 0 0 271.3
2021 12 23 5 0 0 267.43
2021 12 24 5 0 0 270.93
2021 12 25 5 0 0 275.1
2021 12 26 5 0 0 276.84
2021 12 27 5 0 0 275.14
2021 12 28 5 0 0 276.96
2021 12 29 5 0 0 278.67
2021 12 30 5 0 0 281.6
2021 12 31 5 0 0 281.22
2022 1 1 5 0 0 273.93
2022 1 2 5 0 0 270.16
2022 1 3 5 0 0 278.36
2022 1 4 5 0 0 280.65
2022 1 5 5 0 0 275.77
2022 1 6 5 0 0 272.27
2022 1 7 5 0 0 271.83
2022 1 8 5 0.012 1 273.15
2022 1 9 5 0 0 275.44
2022 1 10 5 0.067 7 267.55
2022 1 11 5 0.039 5 268.84
2022 1 12 5 0.002 0 269.4
2022 1 13 5 0 0 269.14
2022 1 14 5 0 0 265.32
2022 1 15 5 0 0 267.93
2022 1 16 5 0 0 269.7
2022 1 17 5 0 0 271.47
2022 1 18 5 0 0 270
2022 1 19 5 0 0 272.52
2022 1 20 5 0.007 1 273.15
2022 1 21 5 0 0 267.71
2022 1 22 5 0 0 269.38
2022 1 23 5 0 0 269.97
2022 1 24 5 0 0 271.79
2022 1 25 5 0 0 272.3
2022 1 26 5 0 0 270.41
2022 1 27 5 0 0 269.74
2022 1 28 5 0.016 2 266.95
2022 1 29 5 0 0 271.38
2022 1 30 5 0 0 276.01
2022 1 31 5 0 0 274.19
2022 2 1 5 0.012 2 272.98
2022 2 2 5 0 0 276.16
2022 2 3 5 0 0 277.32
2022 2 4 5 0 0 276.21
2022 2 5 5 0 0 270.9
2022 2 6 5 0 0 268.67
2022 2 7 5 0 0 274.52
2022 2 8 5 0 0 267.24
2022 2 9 5 0 0 268.34
2022 2 10 5 0 0 269.09
2022 2 11 5 0 0 276.11
2022 2 12 5 0 0 268.2
2022 2 13 5 0 0 267.71
2022 2 14 5 0 0 271.36
2022 2 15 5 0 0 275.2
2022 2 16 5 0 0 273.19
2022 2 17 5 0 0 281.6
2022 2 18 5 0 0 276.05
2022 2 19 5 0 0 276.58
2022 2 20 5 0 0 274.47
2022 2 21 5 0 0 279.5
2022 2 22 5 0 0 276.09
2022 2 23 5 0 0 277.12
2022 2 24 5 0 0 273.29
2022 2 25 5 0 0 274.38
2022 2 26 5 0.001 0 267.68
2022 2 27 5 0 0 267.11
2022 2 28 5 0 0 266.05
2022 3 1 5 0 0 265.46
2022 3 2 5 0 0 267.15
2022 3 3 5 0 0 267.81
2022 3 4 5 0 0 267.22
2022 3 5 5 0 0 266.09
2022 3 6 5 0 0 266.43
2022 3 7 5 0 0 266.44
2022 3 8 5 0 0 265.07
2022 3 9 5 0 0 265
2022 3 10 5 0 0 266.22
2022 3 11 5 0 0 267.3
2022 3 12 5 0 0 273.91
2022 3 13 5 0 0 270.37
2022 3 14 5 0 0 275.68
2022 3 15 5 0 0 276.85
2022 3 16 5 0 0 274.07
2022 3 17 5 0 0 276.54
2022 3 18 5 0 0 279.36
2022 3 19 5 0 0 274.66
2022 3 20 5 0 0 275.25
2022 3 21 5 0 0 269.18
2022 3 22 5 0 0 269.42
2022 3 23 5 0 0 269.38
2022 3 24 5 0 0 269.88
2022 3 25 5 0 0 270.36
2022 3 26 5 0 0 272.46
2022 3 27 5 0 0 271.82
2022 3 28 5 0 0 270.77
2022 3 29 5 0 0 274.94
2022 3 30 5 0 0 280.28
2022 3 31 5 0 0 279.56
2022 4 1 5 0 0 276.64
2022 4 2 5 0.057 6 270.89
2022 4 3 5 0.021 3 271.06
2022 4 4 5 0 0 269.38
2022 4 5 5 0 0 275.5
2022 4 6 5 0 0 279.6
2022 4 7 5 0 0 280.23
2022 4 8 5 0 0 279.76
2022 4 9 5 0 0 275.45
2022 4 10 5 0.011 1 272.51
2022 4 11 5 0 0 271.92
2022 4 12 5 0 0 273.14
2022 4 13 5 0 0 280.61
2022 4 14 5 0 0 278.41
2022 4 15 5 0 0 284.71
2022 4 16 5 0 0 278.13
2022 4 17 5 0 0 271.9
2022 4 18 5 0 0 270.88
2022 4 19 5 0 0 271.85
2022 4 20 5 0 0 275.41
2022 4 21 5 0 0 271.95
2022 4 22 5 0 0 274.98
2022 4 23 5 0 0 279.7
2022 4 24 5 0 0 279.67
2022 4 25 5 0 0 281.04
2022 4 26 5 0 0 280.65
2022 4 27 5 0 0 278.86
2022 4 28 5 0 0 274.14
2022 4 29 5 0 0 273.74
2022 4 30 5 0 0 282.14
2022 5 1 5 0 0 279.88
2022 5 2 5 0 0 275.05
2022 5 3 5 0 0 280.1
2022 5 4 5 0 0 281.2
2022 5 5 5 0 0 283.26
2022 5 6 5 0 0 283.24
2022 5 7 5 0 0 282.94
2022 5 8 5 0 0 283.71
2022 5 9 5 0 0 284.55
2022 5 10 5 0 0 284.13
2022 5 11 5 0 0 282.67
2022 5 12 5 0 0 285.91
2022 5 13 5 0 0 288.44
2022 5 14 5 0 0 286.67
2022 5 15 5 0 0 281.97
2022 5 16 5 0 0 287.5
2022 5 17 5 0 0 285.04
2022 5 18 5 0 0 283.28
